cov	strain	generation
0.0291204	2A-5A	0
0.0279543	2A-5A	180
0.0271013	2A-5A	270
0.0283448	2A-5A	360
0.0271189	2A-5A	450
0.0260228	2A-5A	540
0.0263743	2A-5A	630
0.0270531	2A-5A	720
0.0276279	2A-5A	810
0.0276233	2A-5A	900
0.0289273	2A-5A	90
0.0277404	2A-5A	990
0.0293589	2C-5C	0
0.0245263	2C-5C	180
0.02899	2C-5C	270
0.0298518	2C-5C	360
0.0305106	2C-5C	450
0.0294852	2C-5C	540
0.0238249	2C-5C	630
0.0299626	2C-5C	720
0.0313569	2C-5C	810
0.0294651	2C-5C	900
0.03069	2C-5C	90
0.0306731	2C-5C	990
0.0294906	2D-5D	0
0.0281231	2D-5D	180
0.0302426	2D-5D	270
0.0308246	2D-5D	360
0.0298563	2D-5D	450
0.0314744	2D-5D	540
0.0260578	2D-5D	630
0.0258747	2D-5D	720
0.0271505	2D-5D	810
0.0272309	2D-5D	900
0.0318754	2D-5D	90
0.0259677	2D-5D	990
0.0233261	2F-5F	180
0.022977	2F-5F	270
0.0244789	2F-5F	360
0.0234537	2F-5F	450
0.0226441	2F-5F	540
0.0217152	2F-5F	630
0.0230626	2F-5F	720
0.0268264	2F-5F	810
0.0294706	2F-5F	900
0.0236219	2F-5F	90
0.0288143	2F-5F	990
0.0256574	3C	180
0.0234278	3C	270
0.0252318	3C	360
0.0295595	3C	450
0.0299077	3C	540
0.0257333	3C	630
0.0266958	3C	720
0.0276354	3C	810
0.0234424	3C	900
0.0314907	3C	90
0.0195325	3C	990
0.0293224	3D	0
0.0261683	3D	180
0.0224508	3D	270
0.0290046	3D	360
0.0309673	3D	450
0.0293605	3D	540
0.0231902	3D	630
0.0249227	3D	720
0.0233198	3D	810
0.0231951	3D	900
0.0169042	3D	90
0.0235355	3D	990
0.0280664	6C	180
0.0265085	6C	270
0.0305314	6C	360
0.0261565	6C	450
0.0311726	6C	540
0.020897	6C	720
0.0216635	6C	810
0.0221087	6C	900
0.0339497	6C	90
0.0212633	6C	990
0.0297874	6D	180
0.0303244	6D	270
0.0249603	6D	360
0.0301614	6D	450
0.0299437	6D	540
0.026213	6D	630
0.0238794	6D	720
0.0246192	6D	810
0.0237831	6D	900
0.0317622	6D	90
0.0253563	6D	990
