transposition_rate	exision_rate	selection_a	selection_b	sex_lost_TEs	sex_lost_TEs_se	asex_lost_TEs	asex_lost_TEs_se
1e-06	5e-07	1e-04	0	6.5	0.16	2	0.05
1e-05	5e-07	1e-04	0	6.7	0.18	1.5	0.05
1e-04	5e-07	1e-04	0	3.5	0.21	-0.8	0.1
1e-06	1e-06	1e-04	0	8.1	0.2	2.2	0.05
1e-05	1e-06	1e-04	0	7.8	0.2	2.3	0.07
1e-04	1e-06	1e-04	0	5.7	0.26	-0.1	0.12
1e-06	5e-05	1e-04	0	28.6	0.39	17	0.22
1e-05	5e-05	1e-04	0	21.9	0.5	13.1	0.28
1e-04	5e-05	1e-04	0	19.4	0.55	11	0.35
1e-06	5e-07	0.00051	0	6.7	0.17	1.9	0.05
1e-05	5e-07	0.00051	0	6.4	0.17	1.6	0.05
1e-04	5e-07	0.00051	0	4.3	0.21	-0.2	0.1
1e-06	1e-06	0.00051	0	9.1	0.22	2.5	0.06
1e-05	1e-06	0.00051	0	8.2	0.21	2.4	0.07
1e-04	1e-06	0.00051	0	6.3	0.26	0.5	0.12
1e-06	5e-05	0.00051	0	22.7	0.5	14	0.28
1e-05	5e-05	0.00051	0	22.6	0.51	13.6	0.28
1e-04	5e-05	0.00051	0	20.6	0.55	11.3	0.32
1e-06	5e-07	1e-04	0.00039	6.5	0.16	2	0.05
1e-05	5e-07	1e-04	0.00039	6.7	0.18	1.5	0.05
1e-04	5e-07	1e-04	0.00039	3.5	0.21	-0.8	0.1
1e-06	1e-06	1e-04	0.00039	8.1	0.2	2.2	0.05
1e-05	1e-06	1e-04	0.00039	7.8	0.2	2.3	0.07
1e-04	1e-06	1e-04	0.00039	5.7	0.26	-0.1	0.12
1e-06	5e-05	1e-04	0.00039	28.6	0.39	17	0.22
1e-05	5e-05	1e-04	0.00039	21.9	0.5	13.1	0.28
1e-04	5e-05	1e-04	0.00039	19.4	0.55	11	0.35
1e-06	5e-07	0.00051	0.00039	6.7	0.17	1.9	0.05
1e-05	5e-07	0.00051	0.00039	6.4	0.17	1.6	0.05
1e-04	5e-07	0.00051	0.00039	4.3	0.21	-0.2	0.1
1e-06	1e-06	0.00051	0.00039	9.1	0.22	2.5	0.06
1e-05	1e-06	0.00051	0.00039	8.2	0.21	2.4	0.07
1e-04	1e-06	0.00051	0.00039	6.3	0.26	0.5	0.12
1e-06	5e-05	0.00051	0.00039	22.7	0.5	14	0.28
1e-05	5e-05	0.00051	0.00039	22.6	0.51	13.6	0.28
1e-04	5e-05	0.00051	0.00039	20.6	0.55	11.3	0.32
