init_f	selection_a	selection_b	sex_lost_TEs	sex_lost_TEs_se	asex_lost_TEs	asex_lost_TEs_se
0.01	2e-04	0	0.6	0.01	1.2	0.02
0.01	3e-04	0	0.7	0.01	2.7	0.07
0.01	4e-04	0	0.6	0.01	5.3	0.12
0.01	0.000425	0	0.9	0.01	6.2	0.15
0.01	0.00045	0	0.7	0.01	6.6	0.13
0.01	0.000475	0	0.8	0.01	10.3	0.14
0.01	5e-04	0	1	0.01	9.9	0.15
0.01	5e-04	1e-06	0.3	0	0.3	0
0.01	0.001	1e-06	0.6	0.01	0.9	0.03
0.01	0.002	1e-06	1.3	0.01	5.1	0.09
0.01	2e-04	1e-05	1.3	0.02	15.6	0.25
0.01	3e-04	1e-05	1.2	0.02	17	0.25
0.01	4e-04	1e-05	2.2	0.04	20.1	0.23
0.01	5e-04	1e-05	2.2	0.04	22.7	0.21
0.1	2e-04	0	3.4	0.02	7.6	0.07
0.1	3e-04	0	4	0.02	12.6	0.13
0.1	4e-04	0	4.9	0.03	16.9	0.15
0.1	5e-04	0	6.4	0.03	20	0.15
0.1	2e-04	1e-05	7.6	0.04	22.4	0.12
0.1	3e-04	1e-05	8.8	0.05	23.5	0.11
0.1	4e-04	1e-05	10.6	0.06	24.9	0.12
0.1	5e-04	1e-05	11.9	0.07	26.1	0.1
