
Wed Jan 17 13:40:46 2018

N = 10000
u = 0.0001, v = 1e-05
initialTE = 10
propAffectW = 1
a = 1e-05, b = 5.4e-06
chrom# = 16, ploidy# = haploid

GEN	n	Vn	x	Vx	empty	fixed	min#	minFreq
0	10	0	0.00125	0.00124859	0.99875	0.00125	10	1
5000	13.602	5.82898	0.00170025	0.00114071	0.974375	0.00025	9	0.0004
10000	16.913	7.39037	0.00211413	0.00119599	0.967875	0.00025	11	0.0443
15000	15.4284	18.6947	0.00192855	0.00117114	0.967875	0	10	0.0463
20000	14.4178	12.9565	0.00180222	0.00116206	0.973625	0.000375	8	0.0007
25000	19.7504	11.1618	0.0024688	0.00159212	0.960125	0.000375	13	0.0028
30000	22.2389	12.2861	0.00277986	0.00206375	0.95725	0.000375	18	0.03
35000	23.157	4.4548	0.00289463	0.00196884	0.956625	0.000125	19	0.0002
40000	32.6846	7.56888	0.00408558	0.00223152	0.933375	0.000375	25	0.0314
45000	40.0776	7.31531	0.0050097	0.00346707	0.931125	0.00025	34	0.0064
50000	44.6314	14.358	0.00557893	0.00409169	0.9145	0.001125	37	0.0007
