generation	tebeforesex	teaftersex	modfreq	replicate	reprmode
10	49.9945	49.9948	0.00848	1	asex
20	49.9925	49.992	0.00806	1	asex
30	49.9904	49.9903	0.00809	1	asex
40	49.9858	49.9858	0.00898	1	asex
50	49.9776	49.9755	0.01138	1	asex
60	49.9785	49.9796	0.01155	1	asex
70	49.9739	49.9746	0.01294	1	asex
80	49.9727	49.9725	0.01269	1	asex
90	49.97	49.9717	0.01261	1	asex
100	49.9601	49.9583	0.01507	1	asex
110	49.9543	49.9548	0.01407	1	asex
120	49.9592	49.9618	0.01299	1	asex
130	49.9526	49.9503	0.01367	1	asex
140	49.9428	49.9413	0.01303	1	asex
150	49.9391	49.941	0.01273	1	asex
160	49.9359	49.9361	0.01208	1	asex
170	49.9469	49.9498	0.01133	1	asex
180	49.9457	49.9441	0.01383	1	asex
190	49.9269	49.9286	0.01545	1	asex
200	49.914	49.9166	0.01483	1	asex
210	49.9082	49.9075	0.01662	1	asex
220	49.9023	49.902	0.01595	1	asex
230	49.8905	49.8905	0.01609	1	asex
240	49.8826	49.8892	0.01588	1	asex
250	49.8802	49.8764	0.01657	1	asex
260	49.8701	49.8737	0.01703	1	asex
270	49.8754	49.8773	0.01573	1	asex
280	49.8892	49.8845	0.01388	1	asex
290	49.8689	49.8735	0.0142	1	asex
300	49.8915	49.8909	0.01214	1	asex
310	49.885	49.8845	0.01283	1	asex
320	49.8846	49.8864	0.01193	1	asex
330	49.8768	49.8782	0.01267	1	asex
340	49.8571	49.8545	0.01411	1	asex
350	49.8512	49.8476	0.01522	1	asex
360	49.861	49.8593	0.01434	1	asex
370	49.8338	49.8344	0.0154	1	asex
380	49.802	49.7966	0.01811	1	asex
390	49.7815	49.7846	0.01835	1	asex
400	49.7615	49.7598	0.01972	1	asex
410	49.7663	49.7708	0.01873	1	asex
420	49.7482	49.7495	0.0204	1	asex
430	49.7433	49.7408	0.01966	1	asex
440	49.7349	49.7331	0.02063	1	asex
450	49.6819	49.6768	0.02428	1	asex
460	49.6949	49.6808	0.02453	1	asex
470	49.6566	49.6463	0.02743	1	asex
480	49.6327	49.6245	0.02881	1	asex
490	49.6026	49.6059	0.03	1	asex
500	49.6115	49.6188	0.0275	1	asex
510	49.6356	49.639	0.02505	1	asex
520	49.6735	49.6732	0.02172	1	asex
530	49.6186	49.6096	0.02416	1	asex
540	49.5574	49.5396	0.02951	1	asex
550	49.4905	49.494	0.0335	1	asex
560	49.5227	49.5213	0.03187	1	asex
570	49.5086	49.5139	0.03315	1	asex
580	49.4904	49.4918	0.03546	1	asex
590	49.475	49.4627	0.03734	1	asex
600	49.4378	49.436	0.03925	1	asex
610	49.4128	49.414	0.03878	1	asex
620	49.4181	49.4255	0.03882	1	asex
630	49.3602	49.343	0.04489	1	asex
640	49.2513	49.251	0.04996	1	asex
650	49.1867	49.1859	0.05418	1	asex
660	49.183	49.1799	0.05441	1	asex
670	49.1527	49.1511	0.05475	1	asex
680	49.0649	49.0671	0.05951	1	asex
690	48.9853	48.9804	0.06367	1	asex
700	48.886	48.8836	0.06893	1	asex
710	48.7489	48.7372	0.07593	1	asex
720	48.6919	48.6884	0.0787	1	asex
730	48.7125	48.7079	0.07656	1	asex
740	48.703	48.684	0.07711	1	asex
750	48.5433	48.5264	0.08443	1	asex
760	48.4791	48.4446	0.08719	1	asex
770	48.28	48.2712	0.09525	1	asex
780	48.1558	48.1472	0.10043	1	asex
790	48.0947	48.0902	0.10308	1	asex
800	48.0134	48.003	0.10681	1	asex
810	47.85	47.8531	0.11316	1	asex
820	47.6618	47.6503	0.12311	1	asex
830	47.4648	47.4433	0.13333	1	asex
840	47.2443	47.2361	0.14268	1	asex
850	47.0508	47.0036	0.15258	1	asex
860	46.7805	46.7305	0.16533	1	asex
870	46.5286	46.4884	0.17504	1	asex
880	46.1784	46.1365	0.18917	1	asex
890	45.7268	45.7156	0.2071	1	asex
900	45.528	45.4969	0.21841	1	asex
910	45.2152	45.192	0.23209	1	asex
920	44.8224	44.8151	0.2496	1	asex
930	44.5865	44.5442	0.26227	1	asex
940	44.1311	44.0798	0.28373	1	asex
950	43.56	43.5112	0.30887	1	asex
960	43.2431	43.178	0.32272	1	asex
970	42.4636	42.4048	0.35741	1	asex
980	41.896	41.7974	0.38098	1	asex
990	41.2975	41.2964	0.40143	1	asex
10	49.9937	49.9943	0.0093	2	asex
20	49.9873	49.9871	0.00962	2	asex
30	49.9824	49.9833	0.01039	2	asex
40	49.9812	49.9818	0.0104	2	asex
50	49.9777	49.9769	0.00966	2	asex
60	49.9751	49.9763	0.01003	2	asex
70	49.9693	49.9676	0.01184	2	asex
80	49.9656	49.9664	0.01154	2	asex
90	49.9655	49.9668	0.01094	2	asex
100	49.9629	49.9634	0.01093	2	asex
110	49.951	49.9509	0.01123	2	asex
120	49.9493	49.9494	0.01088	2	asex
130	49.9432	49.9434	0.01206	2	asex
140	49.9377	49.9389	0.01173	2	asex
150	49.9288	49.9308	0.01156	2	asex
160	49.9264	49.929	0.01181	2	asex
170	49.9244	49.9218	0.01284	2	asex
180	49.9147	49.9172	0.0135	2	asex
190	49.9025	49.9069	0.01462	2	asex
200	49.9109	49.9108	0.01544	2	asex
210	49.899	49.8975	0.01704	2	asex
220	49.9051	49.9058	0.01524	2	asex
